latitude,longitude
30.3923483333,-88.7879833333
30.3923483333,-88.7879833333
30.3923083333,-88.7879583333
30.3923983333,-88.7878983333
30.3979183333,-88.7900833333
31.42599,-91.4531355
30.3604354858,-88.7643585205
31.42599,-91.4531355
30.392225,-88.788065
30.379686684,-88.7085737118
30.4008116667,-88.7522283333
30.392325,-88.7880388889
30.3922328998,-88.7879828364
30.3978823217,-88.7904088944
30.4064719401,-88.8174418733
31.3513144181,-91.4247088689
30.445166,-88.425399
30.4455236111,-88.4254369444
30.3974216465,-88.7919947505
33.2776893176,-88.7942873687
30.39791,-88.7901266667
30.5046805443,-88.6947382767
31.7589991986,-90.2148786055
30.3169415786,-89.4021471323
30.3923892,-88.78806321
30.4437929757,-88.6969165497
31.66175833,-88.72048833
30.4465203372,-88.4252040088
32.5429061256,-89.9206709862
33.2782134387,-88.794590091
30.39768833,-88.79202167
33.2712422451,-88.7815534976
30.4400256621,-88.7761165243
33.2821,-88.77838
30.3976493118,-88.7919990257
32.5429061256,-89.9206709862
32.3702031607,-90.0122354832
30.3496194444,-88.71405
30.4166424789,-88.6545308806
31.6932,-88.57891167
33.27840833,-88.79445
33.281044737,-88.7799280603
32.5535998889,-89.8890133333
30.44556167,-88.425055
32.5429061256,-89.9206602573
32.5429061256,-89.9206602573
30.4156940477,-88.5419461504
31.48477,-91.42453
32.5429061256,-89.9206709862
33.8387816667,-90.0895183333
32.1228644308,-89.6192364309
31.4232853116,-91.4807183635
31.4089890855,-91.1861614639
32.87625,-90.5723416667
33.2727415113,-88.7894533786
30.4,-88.8
33.2711432751,-88.7836105004
33.7560466606,-90.1518009051
33.030075,-90.31018
32.2955517387,-89.6533391385
32.5126722686,-90.991244336
32.28950383,-90.1769124717
30.3744159477,-88.5687953451
32.3521086697,-90.07309971
30.39229997,-88.78796225
32.351486461,-90.0723081567
30.3739416667,-88.707625
30.3924305556,-88.7880777778
30.3594969611,-88.5608016569
30.3840280491,-89.3674243267
32.478645097,-90.1709948589
30.4355898754,-88.4374885261
32.6849215551,-90.2739568774
33.2784592925,-88.7938857079
30.39245333,-88.78805
30.3922929768,-88.7880267523
30.3938873775,-88.7879341799
31.2677955414,-91.0494112272
30.3918303281,-88.7915039063
30.3937583333,-88.7880616667
31.28848,-89.21775
30.3937983333,-88.787995
30.3923533333,-88.7880216667
32.2861384294,-90.0756056571
30.3613057098,-88.7632193726
31.44699667,-90.84801333
33.7837476469,-90.145876312
31.42599,-91.4531355
31.42599,-91.4531355
30.39243,-88.787995
30.3979580244,-88.79017571
30.39231333,-88.78803833
30.392372869,-88.787983507
30.392372869,-88.787983507
30.4135376627,-88.7948972555
33.027346,-89.920365
31.42599,-91.4531355
33.274175,-88.79031333
31.18115038,-90.52100654
31.1811639799,-90.52083677
33.1413864,-90.8715289997
30.3398051791,-88.5190077443
32.5791968286,-89.869605963
32.3874295726,-89.9680997143
